taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Snowy Egret,,,,Snowy Egret,Common,ITIS,174813,Snowy Egret,
Double-crested Cormorant,,,,Double-crested Cormorant,Common,ITIS,174717,Double-crested Cormorant,
Redhead,,,,Redhead,Common,ITIS,175125,Redhead,
Flycatcher,,,,,,,,,
Black-necked Stilt,,,,Black-necked Stilt,Common,ITIS,176726,Black-necked Stilt,
American Wigeon,,,,American Wigeon,Common,ITIS,175095,American Wigeon,
Red-naped Sapsucker,,,,Red-naped Sapsucker,Common,ITIS,178211,Red-naped Sapsucker,
Mountain Bluebird,,,,Mountain Bluebird,Common,ITIS,179811,Mountain Bluebird,
Greater Yellowlegs,,,,Greater Yellowlegs,Common,ITIS,176619,Greater Yellowlegs,
Spotted Towhee,,,,Spotted Towhee,Common,ITIS,554380,Spotted Towhee,
Brown Creeper,,,,Brown Creeper,Common,ITIS,178803,Brown Creeper,
Hummingbird,,,,,,,,,
Western Bluebird,,,,Western Bluebird,Common,ITIS,179806,Western Bluebird,
Cassin's Vireo,,,,Cassin's Vireo,Common,ITIS,554456,Cassin's Vireo,
Slate-colored Junco,,,,,,,,,
Ruby-crowned Kinglet,,,,Ruby-crowned Kinglet,Common,ITIS,179870,Ruby-crowned Kinglet,
Least Sandpiper,,,,Least Sandpiper,Common,ITIS,176656,Least Sandpiper,
Ring-necked Duck,,,,Ring-necked Duck,Common,ITIS,175128,Ring-necked Duck,
Ring-billed Gull,,,,Ring-billed Gull,Common,ITIS,176830,Ring-billed Gull,
Lincoln's Sparrow,,,,Lincoln's Sparrow,Common,ITIS,179484,Lincoln's Sparrow,
Domestic Duck,,,,,,,,,
Brown Thrasher,,,,Brown Thrasher,Common,ITIS,178627,Brown Thrasher,
Bushtit,,,,,,,,,
Common Yellowthroat,,,,Common Yellowthroat,Common,ITIS,178944,Common Yellowthroat,
Blue-winged Teal,,,,Blue-winged Teal,Common,ITIS,1192577,Blue-winged Teal,
Common Loon,,,,Common Loon,Common,ITIS,174469,Common Loon,
American Green-winged Teal,,,,,,,,,
Long-billed Dowitcher,,,,Long-billed Dowitcher,Common,ITIS,176679,Long-billed Dowitcher,
Western Sandpiper,,,,Western Sandpiper,Common,ITIS,176668,Western Sandpiper,
Canyon Wren,,,,Canyon Wren,Common,ITIS,178609,Canyon Wren,
Peregrine Falcon,,,,Peregrine Falcon,Common,ITIS,175604,Peregrine Falcon,
American Avocet,,,,American Avocet,Common,ITIS,176721,American Avocet,
Northern Pintail,,,,Northern Pintail,Common,ITIS,175074,Northern Pintail,
Lark Sparrow,,,,Lark Sparrow,Common,ITIS,179371,Lark Sparrow,
Northern Shoveler,,,,Northern Shoveler,Common,ITIS,1192580,Northern Shoveler,
Chestnut-collared Longspur,,,,Chestnut-collared Longspur,Common,ITIS,179530,Chestnut-collared Longspur,
American Bittern,,,,American Bittern,Common,ITIS,174856,American Bittern,
Rough-legged Hawk,,,,Rough-legged Hawk,Common,ITIS,175373,Rough-legged Hawk,
Cordilleran Flycatcher,,,,Cordilleran Flycatcher,Common,ITIS,554255,Cordilleran Flycatcher,
